fps,name,food_eaten,food_lost,points_gained,points_lost,crashed,winner,times,mapa
50,student,0,0,0,-10,0,1,1.878787878787879,qualify1.bmp
50,agent1,0,0,0,0,1,0,0.18181818181818182,qualify1.bmp
50,student,3,2,30,-60,0,0,1.7083333333333333,qualify1.bmp
50,agent1,2,3,20,0,1,0,0.16319444444444445,qualify1.bmp
50,student,7,0,70,-560,1,0,2.7663817663817665,qualify1.bmp
50,agent1,0,7,0,0,0,1,0.16524216524216523,qualify1.bmp
50,student,1,1,10,-30,0,1,2.3043478260869565,qualify1.bmp
50,agent1,1,1,10,0,1,0,0.2015810276679842,qualify1.bmp
50,student,3,0,30,-200,0,0,2.2462311557788945,qualify1.bmp
50,agent1,0,3,0,0,0,1,0.1457286432160804,qualify1.bmp
50,student,1,2,10,-30,0,0,2.8202247191011236,qualify1.bmp
50,agent1,2,1,20,0,1,0,0.16853932584269662,qualify1.bmp
50,student,3,2,30,-200,0,0,2.954983922829582,qualify1.bmp
50,agent1,2,3,20,0,0,1,0.13183279742765272,qualify1.bmp
50,student,1,1,10,0,0,0,1.2727272727272727,default
50,agent1,1,1,10,0,1,0,0.06493506493506493,default
50,student,6,5,60,-10,0,1,1.8669950738916257,default
50,agent1,5,6,50,0,0,0,0.05172413793103448,default
50,student,10,7,100,-90,0,0,2.6335697399527187,default
50,agent1,7,10,70,0,1,0,0.04964539007092199,default
50,student,7,2,70,0,0,1,1.1940928270042195,default
50,agent1,2,7,20,0,1,0,0.05485232067510549,default
50,student,3,1,30,0,0,1,1.6306306306306306,default
50,agent1,1,3,10,0,1,0,0.036036036036036036,default
50,student,3,0,30,0,0,0,1.2328767123287672,default
50,agent1,0,3,0,0,1,0,0.0,default
50,student,7,7,70,0,0,1,1.2397094430992737,default
50,agent1,7,7,70,0,0,0,0.031476997578692496,default
50,student,1,0,10,0,0,1,1.6666666666666667,default
50,agent1,0,1,0,0,1,0,0.07407407407407407,default
50,student,4,3,40,0,0,0,1.0795454545454546,default
50,agent1,3,4,30,0,1,0,0.06818181818181818,default
50,student,0,0,0,-40,1,0,96.5,default
50,agent1,0,0,0,0,0,1,0.0,default
50,student,3,1,30,0,0,0,1.6021505376344085,default
50,agent1,1,3,10,0,0,1,0.043010752688172046,default
50,student,3,2,30,0,0,0,1.4310344827586208,default
50,agent1,2,3,20,0,0,1,0.034482758620689655,default
50,student,3,0,30,0,0,0,1.1538461538461537,default
50,agent1,0,3,0,0,0,1,0.02564102564102564,default
50,student,2,2,20,-10,0,1,1.5727272727272728,default
50,agent1,2,2,20,0,1,0,0.045454545454545456,default
50,student,3,2,30,0,0,0,1.396039603960396,default
50,agent1,2,3,20,0,0,1,0.019801980198019802,default
50,student,5,2,50,0,0,1,1.5674157303370786,default
50,agent1,2,5,20,0,1,0,0.05056179775280899,default
20,Student,2,1,20,0,0,0,0.4583333333333333,default
20,Agent1,1,2,10,0,1,0,0.05555555555555555,default
50,student,1,0,10,-10,0,0,1.108695652173913,qualify1.bmp
50,agent1,0,1,0,0,0,1,0.1956521739130435,qualify1.bmp
50,student,1,0,10,-10,0,0,1.3037974683544304,qualify1.bmp
50,agent1,0,1,0,0,0,1,0.16455696202531644,qualify1.bmp
50,student,1,0,10,-70,0,0,2.212121212121212,qualify1.bmp
50,agent1,0,1,0,0,0,1,0.16363636363636364,qualify1.bmp
50,student,0,0,0,-10,1,0,30.0,qualify1.bmp
50,agent1,0,0,0,0,0,1,0.5,qualify1.bmp
50,student,9,1,90,-130,0,1,1.391304347826087,qualify1.bmp
50,agent1,1,9,10,0,0,0,0.14624505928853754,qualify1.bmp
50,student,1,0,10,-10,0,0,1.1333333333333333,qualify1.bmp
50,agent1,0,1,0,0,0,1,0.16666666666666666,qualify1.bmp
50,student,1,0,10,-20,0,1,1.2,qualify1.bmp
50,agent1,0,1,0,0,1,0,0.08421052631578947,qualify1.bmp
50,student,2,1,20,-30,0,1,1.5085574572127138,qualify1.bmp
50,agent1,1,2,10,0,1,0,0.1100244498777506,qualify1.bmp
50,student,0,0,0,-10,1,0,16.0,qualify1.bmp
50,agent1,0,0,0,0,0,1,0.0,qualify1.bmp
50,student,7,0,70,-880,0,0,5.064242424242424,qualify1.bmp
50,agent1,0,7,0,0,0,1,0.15636363636363637,qualify1.bmp
50,student,0,0,0,-10,1,0,1.6595744680851063,qualify1.bmp
50,agent1,0,0,0,0,0,0,0.0425531914893617,qualify1.bmp
50,student,1,0,10,-40,1,0,1.7307692307692308,qualify1.bmp
50,agent1,0,1,0,0,0,0,0.2076923076923077,qualify1.bmp
50,student,2,0,20,-40,0,0,1.3651685393258426,qualify1.bmp
50,agent1,0,2,0,0,1,0,0.1797752808988764,qualify1.bmp
50,student,0,0,0,-40,0,1,2.150943396226415,qualify1.bmp
50,agent1,0,0,0,0,1,0,0.1320754716981132,qualify1.bmp
50,student,5,1,50,-210,0,1,2.131782945736434,qualify1.bmp
50,agent1,1,5,10,0,1,0,0.14573643410852713,qualify1.bmp
50,student,2,1,20,-50,1,0,1.7416267942583732,qualify1.bmp
50,agent1,1,2,10,0,0,0,0.1674641148325359,qualify1.bmp
50,student,0,0,0,-40,1,0,9.208333333333334,qualify1.bmp
50,agent1,0,0,0,0,0,1,0.041666666666666664,qualify1.bmp
50,student,2,1,20,-20,0,0,1.2241379310344827,qualify1.bmp
50,agent1,1,2,10,0,1,0,0.13793103448275862,qualify1.bmp
50,student,3,0,30,-100,0,0,2.249190938511327,qualify1.bmp
50,agent1,0,3,0,0,1,0,0.1553398058252427,qualify1.bmp
50,student,15,3,150,-270,1,0,1.5314735336194563,qualify1.bmp
50,agent1,3,15,30,0,0,0,0.13090128755364808,qualify1.bmp
50,student,17,1,170,-340,1,0,1.6617033948779034,qualify1.bmp
50,agent1,1,17,10,0,0,1,0.15247170935080406,qualify1.bmp
50,student,13,1,130,-230,1,0,1.4619787408013083,qualify1.bmp
